Treatment,Period,mean_slope,min_slope,max_slope,lower_95,upper_95
OLD_GROWTH,Pre2021,6.057310584245505e-5,-9.447663168966769e-5,1.9058224452172368e-4,1.4185638930158385e-4,-2.0710177616673573e-5
OLD_GROWTH,2021,-7.595588127234935e-4,-7.713027280255958e-4,-7.501053032243539e-4,-5.538973414711622e-4,-9.652202839758247e-4
OLD_GROWTH,Post2021,0.001477032380572316,-0.0033904637232825582,0.006645043946272191,0.001629293517214679,0.001324771243929954
CON,Pre2021,2.1485818492367678e-5,-5.852317387037628e-4,4.900549203290679e-4,8.24652307243426e-5,-3.949359373960754e-5
CON,2021,-8.822304253307077e-4,-0.001113674286128632,-6.233268181827117e-4,-6.283647678177378e-4,-0.001136096082843678
CON,Post2021,5.485306577673869e-4,-0.004358351940387875,0.0059779762387332834,5.877000487521622e-4,5.093612667826118e-4
THIN,Pre2021,1.4996318761462382e-4,-2.1351829407683225e-4,4.3741275670184705e-4,1.9763329833238403e-4,1.0229307689686377e-4
THIN,2021,-3.52201605242482e-4,-7.88153628158419e-4,-2.2245902600682365e-5,-8.781183484155285e-5,-6.165913756434116e-4
THIN,Post2021,5.355774086221838e-4,-0.004724703376599054,0.006317618299714971,5.790943630353395e-4,4.920604542090298e-4
CLEARCUT,Pre2021,3.346957729652955e-4,-3.213354127579066e-4,0.0010311779014835023,4.96441529725166e-4,1.7295001620542505e-4
CLEARCUT,2021,3.2026987852916937e-4,-0.003532063354986074,0.0037450353162306973,0.0014392444254577507,-7.987046683994131e-4
CLEARCUT,Post2021,3.357263286707536e-4,-0.0147783438129527,0.022247127993821454,5.478362421620393e-4,1.236164151794682e-4
