"effect","term","estimate","std.error","statistic"
"fixed","(Intercept)",0.406574662456581,0.0361394667374296,11.2501566614289
"fixed","DOY",0.000237778256945178,0.000124230722331437,1.91400526764069
"fixed","TRTCON",0.430667014939836,0.0348224234736419,12.3675198903322
"fixed","TRTOLD_GROWTH",0.420201398522629,0.045892487051457,9.15621326103939
"fixed","TRTTHIN",0.408208617819364,0.0347062445558598,11.7618204747665
"fixed","Period2021",0.326495507809361,0.103179501661469,3.16434468622061
"fixed","PeriodPost2021",0.104613317687491,0.0579162863677831,1.806284971781
"fixed","DOY:TRTCON",-0.000182632939784493,0.000131470957894605,-1.38915044591751
"fixed","DOY:TRTOLD_GROWTH",-0.000205633336518467,0.000174435782983985,-1.17884835898232
"fixed","DOY:TRTTHIN",-0.000137544201994658,0.000130935284067689,-1.05047469040929
"fixed","DOY:Period2021",-0.00104135400431137,0.000441920264087116,-2.35642962981686
"fixed","DOY:PeriodPost2021",0.000178870127782231,0.000217353529873617,0.82294558494742
"fixed","TRTCON:Period2021",-0.169732615011482,0.104047548333228,-1.63129855273367
"fixed","TRTOLD_GROWTH:Period2021",-0.208806172714352,0.142722800940514,-1.46301902245726
"fixed","TRTTHIN:Period2021",-0.23522125470886,0.103141266235638,-2.28057365682782
"fixed","TRTCON:PeriodPost2021",-0.240433704241249,0.0552702303356141,-4.35014840324127
"fixed","TRTOLD_GROWTH:PeriodPost2021",-0.297860569169943,0.0682211483531511,-4.36610312725973
"fixed","TRTTHIN:PeriodPost2021",-0.214999109514956,0.0552584309591825,-3.89079287600056
"fixed","DOY:TRTCON:Period2021",0.000106108612759813,0.000470460525546902,0.225542010430023
"fixed","DOY:TRTOLD_GROWTH:Period2021",0.000338344301587367,0.000649502382604667,0.520928499492984
"fixed","DOY:TRTTHIN:Period2021",0.000473118506067854,0.000466151364068933,1.01494609377114
"fixed","DOY:TRTCON:PeriodPost2021",0.000110370705592702,0.000225354633517338,0.489764527447403
"fixed","DOY:TRTOLD_GROWTH:PeriodPost2021",0.00030063157458862,0.000281505522247565,1.06794201473687
"fixed","DOY:TRTTHIN:PeriodPost2021",5.77388273695575e-05,0.00022524344413732,0.256339657701011
